Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
Memsleh,Pouzolzia hirta,Urticaceae,NEI_MPDB,Promotes hair growth,Root,Paste topically,Meghalaya,(Not listed),Kayang et_al. 2005,
Jirepole,Debregeasia longifolia,Urticaceae,NEI_MPDB,(None listed),(Not listed),Ñ,Arunachal Pradesh,Betulinic acid; catechin; hederagenin; flavonoids; palmitic acid; _-sitosterol; monogynol A; ponolic acid,NEI_MPDB entry,
Pudrangta,Dendrocnide sinuate,Urticaceae,NEI_MPDB,Malarial fever,Leaves,Oral extract,Arunachal Pradesh,Alkaloids; flavonoids; glycosides; polyphenols,Bora et_al. 2007,
Urtica urens,Urtica urens,Urticaceae,NEI_MPDB,Constipation; oedema; stomachache,Leaves; Root,Decoction orally; paste topical,Nagaland,"(UB same as U. ardens?) Ñ likely similar polysaccharides, terpenes, etc.",Kichu et_al. 2015,
Jatamansi,Valeriana jatamansi,Valerianaceae,NEI_MPDB,Epilepsy; Hysteria; Neurosis,Roots (rhizome),"Decoction, taken orally",Sikkim,(+)-Spirojatamol; (+)-endo-_-bergamotene; (Ð)-maalioxide; (Ð)-valeranone; bornyl acetate; nerolidol; eudesmol; phytosterols; many sesquiterpenoids (neist.res.in),Das_T_et_al. 2012; Mohanraj_K_et_al. 2018,
Naga valerian,Valeriana wallichii,Valerianaceae,NEI_MPDB,Liver disorders,Rhizome,"Decoction, taken orally",Nagaland,Butyl-valerianate; Ethyl-valerianate; Valeriana-phenol,Chase_P.E. & Singh_O.P. 2013,
Lippia,Lippia javanica,Verbenaceae,NEIMP,"Cough, cold, fever",Leaf,Decoction,"Meghalaya, Assam",Volatile oils,NEIMP Lippia,
Lantana,Lantana camara,Verbenaceae,NEIMP,"Skin diseases, wounds",Leaf,Paste,"Assam, Manipur",Lantadene A & B,NEIMP Lantana,
Bharangi,Clerodendrum serratum,Verbenaceae,NEIMP,"Asthma, inflammation",Root,"Powder, decoction",Arunachal Pradesh,Flavonoids,NEIMP Bharangi,
Clerodendrum,Clerodendrum L.,Verbenaceae,NEIMP,Respiratory issues,Leaf,Decoction,Nagaland,Alkaloids,NEIMP Clerodendrum,
Bhant,Clerodendrum infortunatum,Verbenaceae,NEIMP,"Fever, malaria","Leaf, root",Decoction,"Assam, Tripura",Saponins,NEIMP Bhant,
Clerodendrum indicum,Clerodendrum indicum,Verbenaceae,NEIMP,"Cough, asthma",Root,Decoction,Meghalaya,Terpenoids,NEIMP C. indicum,
C. colebrookianum,Clerodendrum colebrookianum,Verbenaceae,NEIMP,Hypertension,Leaf,Juice,"Nagaland, Mizoram",Steroids,NEIMP C. colebrookianum,
C. bracteatum,Clerodendrum bracteatum,Verbenaceae,NEIMP,"Fever, inflammation",Leaf,Decoction,Arunachal Pradesh,Flavonoids,NEIMP C. bracteatum,
C. rubella,Callicarpa rubella,Verbenaceae,NEIMP,Skin infections,Leaf,Paste,"Assam, Meghalaya",Tannins,NEIMP C. rubella,
C. macrophylla,Callicarpa macrophylla,Verbenaceae,NEIMP,"Cuts, wounds",Leaf,Paste,Nagaland,Flavonoids,NEIMP C. macrophylla,
C. arborea,Callicarpa arborea,Verbenaceae,NEIMP,Anti-inflammatory,Bark,Decoction,"Assam, Arunachal Pradesh",Phenolics,NEIMP C. arborea,
C. serratum,Clerodendrum serratum,Verbenaceae,NEIMP,"Asthma, bronchitis",Root,Powder,Tripura,Flavonoids,NEIMP C. serratum,
Verbena,Verbena officinalis,Verbenaceae,NEIMP,"Nervine tonic, anxiety",Whole plant,Infusion,Meghalaya,Iridoids,NEIMP Verbena,
Nirgundi,Vitex negundo,Verbenaceae,NEIMP,"Joint pain, inflammation",Leaf,"Oil, decoction","Assam, Manipur",Flavonoids,NEIMP Nirgundi,
V. peduncularis,Vitex peduncularis,Verbenaceae,NEIMP,"Liver tonic, rheumatism",Bark,Decoction,Arunachal Pradesh,Lignans,NEIMP V. peduncularis,
Two_flower Violet,Viola biflora,Violaceae,NEIMPDB (NEIST DB),Malarial fever,Whole plant,Decoction taken orally,Meghalaya,"3_O_[__L_Rhamnopyranosyl_(1_6)___D_Glucopyranoside], 7_O___L_Rhamnopyranoside; 3_O_[__L_Rhamnopyranosyl_(1_6)___D_Glucopyranoside], 7_O___D_Glucopyranoside","Bora_U_et_al., Phytotherapy Research 21:800Ð804,_2007 (neist.res.in, pfaf.org)Muhammad_N_et_al., Phytopharmacol 3.1:214Ð226,_2012 (neist.res.in)",
Huikhong,Viola serpens,Violaceae,NEIMPDB (NEIST DB),Stomach ulcer,Shoot,Extract taken orally,Manipur,"Hydroquinone dimethylether; ionones; linolenic acid; methyl salicylate; quercetrin; violin; __ionone, __ionone, __dihydroionone","Meetei_S._Y. & Singh_P._K, Flora & Fauna 13(2):355Ð358,_2007 Muhammad_N_et_al., Phytopharmacol 3.1:214Ð226,_2012",
Grape vine,Vitis vinifera L.,Vitaceae,NEIMPDB,"Antioxidant, cardioprotective",Seed,Solvent extraction,Assam; Meghalaya,Proanthocyanidins; anthocyanins,NEIMPDB Entry ID: VIT001,
Bone setterÕs creeper,Cissus quadrangularis L.,Vitaceae,NEIMPDB,"Fracture healing, anti-inflammatory",Stem,Methanolic extraction,Assam; Manipur; Tripura,Flavonoids; triterpenoids,NEIMPDB Entry ID: CIS002,
Climbing vine,Ampelocissus latifolia (Roxb.) Planch.,Vitaceae,NEIMPDB,"Antidiabetic, hepatoprotective",Leaf,Aqueous decoction,Arunachal Pradesh; Nagaland,Alkaloids; saponins,NEIMPDB Entry ID: AMP003,
Boston ivy,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Vitaceae,NEIMPDB,"Anticancer, antimicrobial",Root,Soxhlet extraction,Nagaland; Mizoram,Tannins; stilbenoids,NEIMPDB Entry ID: PAR004,
Ginger,Zingiber officinale Roscoe,Zingiberaceae,NEIMPDB#101,"Antiemetic, digestive aid",Rhizome,"Decoction, ethanolic ext.","Assam, Meghalaya, Manipur","Gingerol, Shogaol",Sharma et al. 2012,
Greater galangal,Alpinia galanga (L.) Willd.,Zingiberaceae,NEIMPDB#102,"Anti-inflammatory, analgesic",Rhizome,"Dewar col., powder","Assam, Tripura","Galangin, 1_-acetoxychavicol acetate",Das et al. 2014,
Turmeric,Curcuma longa L.,Zingiberaceae,NEIMPDB#103,"Anti-inflammatory, antioxidant",Rhizome,"Powder, aqueous ext.","Arunachal Pradesh, Manipur","Curcumin, Demethoxycurcumin",Singh et al. 2015,
Black turmeric,Curcuma caesia Roxb.,Zingiberaceae,NEIMPDB#104,"Antimicrobial, analgesic",Rhizome,Ethanolic extract,"Assam, Meghalaya","Curdione, Camphor",Paul et al. 2013,
Green cardamom,Elettaria cardamomum (L.) Maton,Zingiberaceae,NEIMPDB#105,"Carminative, digestive",Seed,"Oil distillation, powder","Sikkim, Meghalaya","1,8-Cineole, _-Terpineol",Bhuyan et al. 2016,
Lesser galangal,Alpinia officinarum Hance,Zingiberaceae,NEIMPDB#106,"Digestive, antispasmodic",Rhizome,Decoction,Assam,"Diarylheptanoids, Flavonoids",Kapil et al. 2014,
Spiked ginger lily,Hedychium spicatum Sm.,Zingiberaceae,NEIMPDB#107,"Expectorant, anti-inflammatory",Rhizome,Hydroalcoholic extract,Arunachal Pradesh,"Hedychenone, Spicatone",Kumar et al. 2017,
Siam tulip ginger,Curcuma zedoaria (Christm.) Roscoe,Zingiberaceae,NEIMPDB#108,"Anticancer, anti-inflammatory",Rhizome,"Powder, methanol ext.","Assam, Mizoram","Zederone, Curzerenone",Rahman et al. 2015,
Mango ginger,Curcuma amada Roxb.,Zingiberaceae,NEIMPDB#109,"Antifungal, anti-inflammatory",Rhizome,"Paste, aqueous extract",Meghalaya,"Methyl eugenol, Curcumin",Singh et al. 2016,
Round-rooted ginger,Kaempferia rotunda L.,Zingiberaceae,NEIMPDB#110,"Analgesic, anti-inflammatory",Rhizome,Ethanol extract,"Assam, Manipur","Flavonoids, Phenols",Devi et al. 2018,
Kencur,Kaempferia galanga L.,Zingiberaceae,NEIMPDB#111,"Analgesic, digestive",Rhizome,Decoction,"Tripura, Assam",Ethyl p-Methoxycinnamate,Amrita et al. 2015,
Black cardamom,Amomum subulatum Roxb.,Zingiberaceae,NEIMPDB#112,"Carminative, stimulant",Seed,Powder,"Sikkim, Arunachal Pradesh","Linalool, _-Terpineol",Das et al. 2015,
True cardamom,Amomum villosum Lour.,Zingiberaceae,NEIMPDB#113,"Digestive, aromatic",Seed,Steam distillation,Mizoram,"Bornyl acetate, Camphor",Chatterjee et al. 2017,
Torch ginger,Etlingera elatior (Jack) R.M. Sm.,Zingiberaceae,NEIMPDB#114,"Antioxidant, antimicrobial",Flower,Methanol extract,Assam,"Phenolic acids, Flavonoids",Gogoi et al. 2019,
Wild saffron,Globba bulbifera (Dennst.) Horan.,Zingiberaceae,NEIMPDB#115,"Antimicrobial, antidiarrheal",Rhizome,Aqueous extract,Assam,"Eugenol, Cineole",Rahman et al. 2018,
Krachaidum,Kaempferia parviflora Wall. ex Baker,Zingiberaceae,NEIMPDB#116,"Aphrodisiac, antioxidant",Rhizome,Decoction,Manipur,Methoxyflavones,Laopaiboon et al. 2014,
Coral ginger,Alpinia calcarata Roscoe,Zingiberaceae,NEIMPDB#117,"Antidiabetic, anti-inflammatory",Rhizome,Decoction,Meghalaya,"Triterpenoids, Flavonoids",Singh et al. 2014,
Katsumadai galangal,Alpinia katsumadai Hayata,Zingiberaceae,NEIMPDB#118,"Digestive, anti-inflammatory",Seed,Ethanol extract,Arunachal Pradesh,Diarylheptanoids,Wang et al. 2013,
Shampoo ginger,Zingiber montanum (J.Koenig) Link ex A.Dietr.,Zingiberaceae,NEIMPDB#119,"Analgesic, anti-inflammatory",Rhizome,Decoction,"Assam, Tripura",Zerumbone,Nakamura et al. 2003,
Shampoo ginger,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiberaceae,NEIMPDB#120,"Anti-inflammatory, analgesic",Rhizome,Extract,Assam,"Zerumbone, Camphene",Kimura et al. 2005,
White ginger lily,Hedychium coronarium J.Koenig,Zingiberaceae,NEIMPDB#121,"Expectorant, aromatic",Rhizome,Hydroalcoholic extract,"Assam, Meghalaya","Diosgenin, Flavonoids",Dasgupta et al. 2015,
BirdÕs nest ginger,Etlingera roxburghii (Hook.f.) R.M. Sm.,Zingiberaceae,NEIMPDB#122,"Anti-inflammatory, analgesic",Rhizome,Methanol extract,Manipur,Galanolactone,Singh et al. 2017,
Elegant ginger,Kaempferia elegans Wall. ex Baker,Zingiberaceae,NEIMPDB#123,"Antimicrobial, anti-inflammatory",Rhizome,Ethanolic extract,Mizoram,Flavonoids,Devi et al. 2016,
Purple torch,Roscoea purpurea Sm.,Zingiberaceae,NEIMPDB#124,"Analgesic, anti-inflammatory",Rhizome,Decoction,Arunachal Pradesh,"Roscorpirol, Diterpenes",Kumar et al. 2018,
Assam ginger lily,Larsenianthus assamensis S.Dey & Mood,Zingiberaceae,NEIMPDB#125,"Antimicrobial, antidiarrheal",Rhizome,Aqueous extract,Assam,"Flavonoids, Sesquiterpenes",Dey et al. 2019,
Data source: NEAEIST NEIMPDB (https://neaeist.res.in/neimpdb/),,,,,,,,,,
copy this table,,,,,,,,,,
Indian Borage,TRICHODESMA INDICUM,Boraginaceae,AYUSH,Injury,,,,,,	https://ijam.co.in/index.php/ijam/article/view/3056
Camphor tree,Cinnamomum camphora ,Lauraceae,AYUSH,Sadyovrana,Resin,,,,,http://ijam.co.in/index.php/ijam/article/view/06462015/340
Dahiman,CORDIA MACLEODII,Boraginaceae,AYUSH,Wound healing,Leaves,,,,,https://www.ayurpharm.com/imagesuser/ayurpharm244.pdf
Camphor tree,Chinnamomum camphora,Lauraceae,AYUSH,Conjuctivitis,,,,,,https://ayushportal.nic.in/pdf/24216.pdf
Turmeric,CURCUMA LONGA,Zingiberaceae,AYUSH,Conjuctivitis,,,,,,https://ayushportal.nic.in/pdf/12143.pdf
Liquorice,GLYCYRRHIZA GLABRA,Fabaceae,AYUSH,Conjuctivitis,,,,,,https://ayushportal.nic.in/pdf/7274.pdf
Indian barberry,Berberis arisata,Berberidaceae,AYUSH,Conjuctivitis,,,,,,https://www.researchgate.net/publication/269846645_A_CLINICAL_STUDY_ON_THE_EFFECT_OF_RASANJANA_EXTRACT_OF_BERBERIS_ARISTATA_EYE_DROPS_IN_TREATMENT_OF_NETRA_ABHISHYANDA_INFECTIVE_CONJUNCTIVITIS
Neem tree,AZADIRACHTA INDICA A.JUSS.,Meliaceae,AYUSH,Conjuctivitis,,,,,,https://ayushportal.nic.in/pdf/7272.pdf
Wild carrot,DAUCUS CAROTA,Umbelliferae,AYUSH,Glaucoma,Seed,,,,,https://www.researchgate.net/publication/23273801_Lowering_of_intraocular_pressure_by_topical_application_of_Daucus_carota_seed_extract_in_rabbits
Asthma plant,EUPHORBIA HIRTA,Euphorbiaceae,AYUSH,Burn wound healing,Plant material,,,,,https://ayushportal.nic.in/pdf/11305.pdf
Banana,Musa acuminata Colla,Musaceae,AYUSH,Burn,Leaves,,,,,https://www.socialresearchfoundation.com/upoadreserchpapers/3/176/1710261005301st%20sanjay%20trivedi.pdf
Curry tree,MURRAYA KOENIGI,Rutaceae,AYUSH,Indigestion,,,,,,https://ayushportal.nic.in/pdf/7204.pdf
Tamarind,Tamarindus indica,Fabaceae,AYUSH,Indigestion,,,,,,http://www.ayujournal.org/text.asp?2011/32/4/494/96122
Bombay Arrowroot,CURCUMA ANGUSTIFOLIA,Zingiberaceae,AYUSH,Indigestion,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3202266/
West Indian Arrowroot,Maranta arundinacea,Marantaceae,AYUSH,Indigestion,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3202266/
Malabar Nut tree,ADHATODA VASICA NEES,Acanthaceae,AYUSH,Indigestion,,,,,,https://ayushportal.nic.in/pdf/17974.pdf
Satavar,ASPARAGUS RACEMOSUS,Asparagaceae,AYUSH,Indigestion,,,,,,https://pubmed.ncbi.nlm.nih.gov/2097375/
Chaste tree,Vitex negundo,Mints,AYUSH,Rheumatoid Arthritis,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3202251/
green chiretta,ANDROGRAPHIS PANICULATA,Acanthaceae,AYUSH,Disease Digestive system,,,,,,https://pubmed.ncbi.nlm.nih.gov/21844994/
Jungle Flame,IXORA COCCINEA LINN.,Rubiaceae,AYUSH,Antidiarrheal activity,Flower,,,,,https://pubmed.ncbi.nlm.nih.gov/21731376/
Tejpatta,CINNAMOMUM TAMALA,Lauraceae,AYUSH,Antidiarrheal activity,,,,,,http://link.springer.com/article/10.1007%2Fs11418-008-0258-8
Shatavari,ASPARAGUS RACEMOSUS,Asparagaceae,AYUSH,Antidiarrheal activity,Wild root,,,,,http://www.ualberta.ca/~csps/JPPS8%281%29/J.Perianayagam/asparagus.pdf
Indian Screw Tree,HELICTERES ISORA LINN.,Sterculiaceae,AYUSH,Disease Digestive system,Fruit,,,,,http://onlinelibrary.wiley.com/doi/10.1002/1099-1573%28200102%2915:1%3C49::AID-PTR729%3E3.0.CO;2-E/abstract
Sweet Flag,ACORUS CALAMUS LINN.,Acoraceae,AYUSH,antidiarrhoeal,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.2000
Banana,MUSA PARADISIACA,Musaceae,AYUSH,antidiarrhoeal,,,,,,https://pubmed.ncbi.nlm.nih.gov/19828902/
Ginger,ZINGIBER OFFICINALE,Zingiberaceae,AYUSH,Disease Digestive system,,,,,,https://ayushportal.nic.in/pdf/5456.pdf
Baheda,TERMINALIA BELERICA,Combretaceae,AYUSH,antidiarrhoeal,,,,,,https://ayushportal.nic.in/pdf/13619.pdf
Baloon vine,CARDIOSPERMUM HALICACABUM ,Sapindaceae,AYUSH,EPILEPSY,Whole plant,,,,,https://ayushportal.nic.in/pdf/11125.pdf
Nutmeg,MYRISTICA FRAGRANS,Myristicaceae,AYUSH,EPILEPSY,Seed,,,,,https://onlinelibrary.wiley.com/doi/10.1002/ptr.2548/abstract;jsessionid=1539D6056CA3FB8D224E109286BA4FA8.d02t04
Maypop,PASSIFLORA INCARNATA,Passifloraceae,AYUSH,EPILEPSY,Aerial parts,,,,,https://bmccomplementmedtherapies.biomedcentral.com/counter/pdf/10.1186/1472-6882-7-26.pdf
Malabar Catmint,ANISOMELES MALABARICA,Lamiaceae,AYUSH,EPILEPSY,Leaves,,,,,https://www.greenpharmacy.info/index.php/ijgp/article/view/147/142
Vegetable hummingbird,SESBANIA GRANDIFLORA,Fabaceae,AYUSH,EPILEPSY,Leaves,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.971
Sweet flag,ACORUS CALAMUS,Acoraceae,AYUSH,EPILEPSY,Roots and rhizomes,,,,,https://journals.sagepub.com/doi/abs/10.1177/0960327107087791
Brahmi,BACOPA MONNIERI,Plantaginaceae,AYUSH,EPILEPSY,,,,,,https://pubmed.ncbi.nlm.nih.gov/17940877/
Sweet Potato,IPOMOEO BATATAS L,Convolvulaceae,AYUSH,EPILEPSY,,,,,,https://biomedpharmajournal.org/vol12no1/supplementation-of-water-extract-of-purple-sweet-potato-ipomoeo-batatas-l-in-improving-the-eeg-image-decreasing-the-seizure-frequency-and-reducing-the-frequency-of-drugs-resistant-of-focal-epilepsy/
Liquorice,GLYCYRRHIZA GLABRA,Fabaceae,AYUSH,Protective against chemotherapy,,,,,,https://pubmed.ncbi.nlm.nih.gov/22408302/
Mahakal,TRICHOSANTHES TRICUSPIDATA,Cucurbitaceae,AYUSH,Migrane,Root,,,,,https://www.phcogres.com/article/2009/1/6/nil-11
Kurchi,Holarrhena antidysenterica,Apocynaceae,AYUSH,HAEMORRHOIDS,,,,,,https://journals.lww.com/aayu/abstract/2009/30040/a_clinical_study_of_kutaja__holarrhena.2.aspx
mistletoe,VISCUM ALBUM,Santalaceae,AYUSH,MALIGNANCY NOS,,,,,,https://pubmed.ncbi.nlm.nih.gov/19729932/
Hemp,CANNABIS SATIVA L.,Cannabaceae,AYUSH,MALIGNANCY NOS,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6891996/
Herb of grace,RUTA CHALEPENSIS L.,Rutaceae,AYUSH,MALIGNANCY NOS,,,,,,https://pubmed.ncbi.nlm.nih.gov/21434485/
cat's claw,UNCARIA TOMENTOSA,Rubiaceae,AYUSH,MALIGNANCY NOS,,,,,,https://www.researchgate.net/publication/327575552_Phase_II_Pilot_Clinical_Study_of_the_Use_of_Uncaria_tomentosa_Cats_Claw_Combined_with_Paullinia_cupana_Guarana_for_the_Treatment_of_Symptoms_in_Terminal_Cancer_Patienna_Guarana_for_the_Treatment_of_Sy
Brazilian cocoa,Paullinia cupana,Sapindaceae,AYUSH,MALIGNANCY NOS,,,,,,https://www.researchgate.net/publication/327575552_Phase_II_Pilot_Clinical_Study_of_the_Use_of_Uncaria_tomentosa_Cats_Claw_Combined_with_Paullinia_cupana_Guarana_for_the_Treatment_of_Symptoms_in_Terminal_Cancer_Patienna_Guarana_for_the_Treatment_of_Sy
mistletoe,VISCUM ALBUM,Santalaceae,AYUSH,BREAST AND GYNAECOLOGICAL CANCER,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2711058/pdf/1756-9966-28-79.pdf
Madar,CALOTROPIS PROCERA,Apocynaceae,AYUSH,GASTROINTESTINAL INFECTION,Bark,,,,,https://ayushportal.nic.in/pdf/5523.pdf
tamarind,TAMARINDUS INDICA LINN.,Fabaceae,AYUSH,GASTROINTESTINAL INFECTION,Fruit and seed,,,,,https://ayushportal.nic.in/pdf/5524.pdf
puncture vine,TRIBULUS TERRESTRIS,caltrop,AYUSH,CYSTITIS/URINARY INFECTION,,,,,,https://paper.researchbib.com/view/paper/34919
Satavar,ASPARAGUS RACEMOSUS,Asparagaceae,AYUSH,CYSTITIS/URINARY INFECTION,,,,,,https://paper.researchbib.com/view/paper/34919
moringa,MORINGA OLEIFERA,Moringaceae,AYUSH,CYSTITIS/URINARY INFECTION,,,,,,https://ayushportal.nic.in/pdf/18582.pdf
Veldt Grape,CISSUS QUADRANGULARIS LINN,Vitaceae,AYUSH,FRACTURE: RADIUS/ULNA,,,,,,https://irjponline.org/index.php/irjp/article/view/2913
Ginger,ZINGIBER OFFICINALE,Zingiberaceae,AYUSH,VOMITING,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S154329121360168X
Marking Nut Tree,SEMECARPUS ANACARDIUM,Anacardiaceae,AYUSH,ADVERSE EFFECT MEDICAL AGENT,,,,,,https://www.sciencedirect.com/science/article/pii/S0975947622000948
Brahmi,BACOPA MONNIERA,Plantaginaceae,AYUSH,DEPRESSIVE DISORDER,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0944711304701038
Mysore Hypericum,HYPERICUM MYSORENSE,Hypericaceae,AYUSH,DEPRESSIVE DISORDER,,,,,,https://www.researchgate.net/publication/289053337_Hypericum_mysorense_A_potential_antioxidant_and_antidepressant_folk_medicinal_plant_of_Nilgiris_biosphere-western_ghats
sweet flag,ACORUS CALAMUS,Acoraceae,AYUSH,DEPRESSIVE DISORDER,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7230970/
Morning Glory olant,EVOLVULUS ALSINOIDES,Convolvulaceae,AYUSH,DEPRESSIVE DISORDER,,,,,,COMBINED EFFECT OF ROOTS OF EVOLVULUS ALSINOIDES (LINN.) LINN. (VISHNUKRANTHA) AND VERNONIA CINERIA (LINN.) LESS. (SAHADEVI) IN DEPRESSION (VISHADA) google scholar
Ash Fleabane,VERNONIA CINERIA,Asteraceae,AYUSH,DEPRESSIVE DISORDER,,,,,,COMBINED EFFECT OF ROOTS OF EVOLVULUS ALSINOIDES (LINN.) LINN. (VISHNUKRANTHA) AND VERNONIA CINERIA (LINN.) LESS. (SAHADEVI) IN DEPRESSION (VISHADA) google scholar
sweet flag,ACORUS CALAMUS,Acoraceae,AYUSH,Anxiety disorders,,,,,,https://www.researchgate.net/publication/284800393_A_clinical_study_on_the_management_of_generalized_anxiety_disorder_with_Vaca_Acorus_calamus
ashwagandha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,Anxiety disorders,,,,,,https://pubmed.ncbi.nlm.nih.gov/21407960/
Common Chaste,VITEX NEGUNDO LINN.,Lamiaceae,AYUSH,Anxiety disorders,,,,,,https://www.greenpharmacy.info/index.php/ijgp/article/view/93/89
celery,APIUM GRAVEOLENS,Apiaceae,AYUSH,Anxiety disorders,seed,,,,,https://link.springer.com/article/10.1007/s10787-022-01083-y
Indian pennywort,CENTELLA ASIATICA,Apiaceae,AYUSH,Anxiety disorders,,,,,,https://pubmed.ncbi.nlm.nih.gov/17600859/
JASMINE,Jasminum officinale,Oleaceae,AYUSH,Anxiety disorders,,,,,,https://www.jahm.co.in/index.php/jahm/article/view/124
Holy basil plant,OCIMUM SANCTUM,Lamiaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/24948862/
Pomegranate,PUNICA GRANATUM LINN,Lythraceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://www.scielo.br/j/jaos/a/h3PsPfNwnGkTkPHYWPLb8kN/?format=pdf&lang=en
Porcupine flower,BARLERIA PRIONITIS,Acanthaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4908843/
Turmeric,CURCUMA LONGA,Zingiberaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://pubmed.ncbi.nlm.nih.gov/37303856/
Neem tree,AZADIRACHTA INDICA A.JUSS.,Meliaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://journals.lww.com/aayu/fulltext/2023/44040/effect_of_herbal_mouthwashes_from_nimba.5.aspx
Curry tree,MURRAYA KOENIGII (L.) SPRENG.,Rutaceae,AYUSH,TEETH/GUM DISEASE,,,,,,https://journals.lww.com/aayu/fulltext/2023/44040/effect_of_herbal_mouthwashes_from_nimba.5.aspx
ashwagabdha,WITHANIA SOMNIFERA,Solanaceae,AYUSH,WEAKNESS/TIREDNESS ,,,,,,EFFICACY OF ASHVAGANDHA (WITHANIA SOMNIFERA) ON IMMUNITY OF KRISHA (UNDERWEIGHT)
Indian snowberry,SECURINEGA LEUCOPYRUS LINN,Euphorbiaceae,AYUSH,CHRONIC ULCER SKIN,,,,,,https://www.aamjournal.in/?mno=67946
Sessile Joyweed,ALTERNANTHERA SESSILIS LINN,Amaranthaceae,AYUSH,CHRONIC ULCER SKIN,,,,,,https://www.greenpharmacy.info/index.php/ijgp/article/view/18
Spinous Fluggea,SECURINEGA LEUCOPYRUS (WILLD.) MUELL.,Spurges,AYUSH,CHRONIC ULCER SKIN,,,,,,https://ayushportal.nic.in/pdf/163790.pdf
Sal tree,SHOREA ROBUSTA,Dipterocarpaceae,AYUSH,CHRONIC ULCER SKIN,,,,,,https://jmscr.igmpublication.org/home/index.php/archive/142-volume-05-issue-09-september-2017/3263-sal-shorea-robusta-in-vrana-ropana-wound-healing-a-clinical-study
Holy basil plant,OCIMUM SANCTUM (LINN),Lamiaceae,AYUSH,ATHEROSCLEROSIS,Seed,,,,,https://pubmed.ncbi.nlm.nih.gov/16629372/
black cumin,NIGELLA SATIVA,Ranunculaceae,AYUSH,ATHEROSCLEROSIS,Seed,,,,,https://www.liebertpub.com/doi/abs/10.1089/acm.2008.0367
Amla,EMBLICA OFFICINALIS GAERTN,Phyllanthaceae,AYUSH,ATHEROSCLEROSIS,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2041704/pdf/brjexppathol00113-0093.pdf
Pushkarmool,INULA RACEMOSA HOOK.,Asteraceae,AYUSH,ATHEROSCLEROSIS,,,,,,https://pubmed.ncbi.nlm.nih.gov/19703356/
common sida,SIDA RHOMBOIDEA.ROXB,Malvaceae,AYUSH,ATHEROSCLEROSIS,,,,,,https://www.phcogres.com/article/2009/1/4/nil-8
Kothala himbutu,SALACIA OBLONGA,Celastraceae,AYUSH,ATHEROSCLEROSIS,Root,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0041008X05004205
Liquorice,GLYCYRRHIZA GLABRA,Fabaceae,AYUSH,MEMORY AND COGNITION ENHANCING,,,,,,https://www.researchgate.net/publication/369524465_Evaluation_of_Memory_and_Cognition_Enhancing_Activity_of_Glycerrhiza_glabra_Linn_Formulation_Along_with_Yoga_in_Teenage_13-16_years_Students
heart-leaved moonseed,TINOSPORA CORDIFOLIA,Menispermaceae,AYUSH,MEMORY AND COGNITION ENHANCING,,,,,,https://www.sid.ir/FileServer/JE/101020070110
Indrajao,HOLARRHENA PUBESCENS,Apocynaceae,AYUSH,PSORIASIS,,,,,,https://ayushportal.nic.in/pdf/12916.pdf
Satavar,ASPARAGUS RACEMOSUS,Asparagaceae,AYUSH,MATERNAL DISORDERS PREDOMINANTLY RELATED TO PREGNANCY,,,,,,https://www.indianpediatrics.net/aug1996/675.pdf
